name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,source,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,deity
Heroes' Feast,conjuration,,creation,"bard 6, cleric 6",10 minutes,"V, S, DF",0,close (25 ft. + 5 ft./2 levels),,feast for one creature/level,,1 hour plus 12 hours; see text,0,0,none,no,"You bring forth a great feast, including a magnificent table, chairs, service, and food and drink. The feast takes 1 hour to consume, and the beneficial effects do not set in until this hour is over. Every creature partaking of the feast is cured of all sickness and nausea, receives the benefits of both neutralize poison and remove disease, and gains 1d8 temporary hit points + 1 point per two caster levels (maximum +10) after imbibing the nectar-like beverage that is part of the feast. The ambrosial food grants each creature that partakes a +1 morale bonus on attack rolls and Will saves and a +4 morale bonus on saving throws against poison and fear effects for 12 hours.  If the feast is interrupted for any reason, the spell is ruined and all effects of the spell are negated.","<p>You bring forth a great feast, including a magnificent table, chairs, service, and food and drink. The feast takes 1 hour to consume, and the beneficial effects do not set in until this hour is over. Every creature partaking of the feast is cured of all sickness and nausea, receives the benefits of both <i>neutralize poison</i> and <i>remove disease</i>, and gains 1d8 temporary hit points + 1 point per two caster levels (maximum +10) after imbibing the nectar-like beverage that is part of the feast. The ambrosial food grants each creature that partakes a +1 morale bonus on attack rolls and Will saves and a +4 morale bonus on saving throws against poison and fear effects for 12 hours.</p><p>If the feast is interrupted for any reason, the spell is ruined and all effects of the spell are negated.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Heroes' Feast</p><div style=""clear: both;""></div></div><div><h5><b>School </b>conjuration [creation]; <b>Level </b>bard 6, cleric 6</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>10 minutes</h5><h5><b>Components </b>V, S, DF</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Effect </b>feast for one creature/level</h5><h5><b>Duration </b>1 hour plus 12 hours; see text</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>You bring forth a great feast, including a magnificent table, chairs, service, and food and drink. The feast takes 1 hour to consume, and the beneficial effects do not set in until this hour is over. Every creature partaking of the feast is cured of all sickness and nausea, receives the benefits of both <i>neutralize poison</i> and <i>remove disease</i>, and gains 1d8 temporary hit points + 1 point per two caster levels (maximum +10) after imbibing the nectar-like beverage that is part of the feast. The ambrosial food grants each creature that partakes a +1 morale bonus on attack rolls and Will saves and a +4 morale bonus on saving throws against poison and fear effects for 12 hours.</p><p>If the feast is interrupted for any reason, the spell is ruined and all effects of the spell are negated.</p></h4></div>",1,1,0,0,1,NULL,NULL,6,NULL,NULL,6,NULL,NULL
Heroism,enchantment,compulsion,mind-affecting,"bard 2, sorcerer/wizard 3",1 standard action,"V, S",0,touch,,,creature touched,10 min./level,0,0,Will negates (harmless),yes (harmless),"This spell imbues a single creature with great bravery and morale in battle. The target gains a +2 morale bonus on attack rolls, saves, and skill checks.","<p>This spell imbues a single creature with great bravery and morale in battle. The target gains a +2 morale bonus on attack rolls, saves, and skill checks.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Heroism</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 2, sorcerer/wizard 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>touch</h5><h5><b>Targets </b>creature touched</h5><h5><b>Duration </b>10 min./level</h5><h5><b>Saving Throw </b>Will negates (harmless); <b>Spell Resistance </b>yes (harmless)</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell imbues a single creature with great bravery and morale in battle. The target gains a +2 morale bonus on attack rolls, saves, and skill checks.</p></h4></div>",1,1,0,0,0,3,3,NULL,NULL,NULL,2,NULL,NULL
"Heroism, Greater",enchantment,compulsion,mind-affecting,"bard 5, sorcerer/wizard 6",1 standard action,"V, S",0,touch,,,creature touched,1 min./level,0,0,Will negates (harmless),yes (harmless),"This spell functions like heroism, except the creature gains a +4 morale bonus on attack rolls, saves, and skill checks, immunity to fear effects, and temporary hit points equal to your caster level (maximum 20).","<p>This spell functions like <i>heroism,</i> except the creature gains a +4 morale bonus on attack rolls, saves, and skill checks, immunity to fear effects, and temporary hit points equal to your caster level (maximum 20).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Heroism, Greater</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 5, sorcerer/wizard 6</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>touch</h5><h5><b>Targets </b>creature touched</h5><h5><b>Duration </b>1 min./level</h5><h5><b>Saving Throw </b>Will negates (harmless); <b>Spell Resistance </b>yes (harmless)</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell functions like <i>heroism,</i> except the creature gains a +4 morale bonus on attack rolls, saves, and skill checks, immunity to fear effects, and temporary hit points equal to your caster level (maximum 20).</p></h4></div>",1,1,0,0,0,6,6,NULL,NULL,NULL,5,NULL,NULL
Hide from Animals,abjuration,,,"druid 1, ranger 1",1 standard action,"S, DF",0,touch,,,one creature touched/level,10 min./level,1,0,Will negates (harmless),yes,"Animals cannot sense the warded creatures. Even extraordinary or supernatural sensory capabilities, such as blindsense, blindsight, scent, and tremorsense, cannot detect or locate warded creatures.  Animals simply act as though the warded creatures are not there.  If a warded character touches an animal or attacks any creature, even with a spell, the spell ends for all recipients.","<p>Animals cannot sense the warded creatures. Even extraordinary or supernatural sensory capabilities, such as blindsense, blindsight, scent, and tremorsense, cannot detect or locate warded creatures.</p><p>Animals simply act as though the warded creatures are not there.</p><p>If a warded character touches an animal or attacks any creature, even with a spell, the spell ends for all recipients.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hide from Animals</p><div style=""clear: both;""></div></div><div><h5><b>School </b>abjuration; <b>Level </b>druid 1, ranger 1</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>S, DF</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>touch</h5><h5><b>Targets </b>one creature touched/level</h5><h5><b>Duration </b>10 min./level (D)</h5><h5><b>Saving Throw </b>Will negates (harmless); <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Animals cannot sense the warded creatures. Even extraordinary or supernatural sensory capabilities, such as blindsense, blindsight, scent, and tremorsense, cannot detect or locate warded creatures.</p><p>Animals simply act as though the warded creatures are not there.</p><p>If a warded character touches an animal or attacks any creature, even with a spell, the spell ends for all recipients.</p></h4></div>",0,1,0,0,1,NULL,NULL,NULL,1,1,NULL,NULL,NULL
Hide from Undead,abjuration,,,cleric 1,1 standard action,"V, S, DF",0,touch,,,one touched creature/level,10 min./level,1,0,Will negates (harmless); see text,yes,"Undead cannot see, hear, or smell creatures warded by this spell.  Even extraordinary or supernatural sensory capabilities, such as blindsense, blindsight, scent, and tremorsense, cannot detect or locate warded creatures. Nonintelligent undead creatures (such as skeletons or zombies) are automatically affected and act as though the warded creatures are not there. An intelligent undead creature gets a single Will saving throw. If it fails, the subject can't see any of the warded creatures. If it has reason to believe unseen opponents are present, however, it can attempt to find or strike them. If a warded creature attempts to channel positive energy, turn or command undead, touches an undead creature, or attacks any creature (even with a spell), the spell ends for all recipients.","<p>Undead cannot see, hear, or smell creatures warded by this spell.</p><p>Even extraordinary or supernatural sensory capabilities, such as blindsense, blindsight, scent, and tremorsense, cannot detect or locate warded creatures. Nonintelligent undead creatures (such as skeletons or zombies) are automatically affected and act as though the warded creatures are not there. An intelligent undead creature gets a single Will saving throw. If it fails, the subject can't see any of the warded creatures. If it has reason to believe unseen opponents are present, however, it can attempt to find or strike them. If a warded creature attempts to channel positive energy, turn or command undead, touches an undead creature, or attacks any creature (even with a spell), the spell ends for all recipients.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hide from Undead</p><div style=""clear: both;""></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric 1</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, DF</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>touch</h5><h5><b>Targets </b>one touched creature/level</h5><h5><b>Duration </b>10 min./level (D)</h5><h5><b>Saving Throw </b>Will negates (harmless); see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Undead cannot see, hear, or smell creatures warded by this spell.</p><p>Even extraordinary or supernatural sensory capabilities, such as blindsense, blindsight, scent, and tremorsense, cannot detect or locate warded creatures. Nonintelligent undead creatures (such as skeletons or zombies) are automatically affected and act as though the warded creatures are not there. An intelligent undead creature gets a single Will saving throw. If it fails, the subject can't see any of the warded creatures. If it has reason to believe unseen opponents are present, however, it can attempt to find or strike them. If a warded creature attempts to channel positive energy, turn or command undead, touches an undead creature, or attacks any creature (even with a spell), the spell ends for all recipients.</p></h4></div>",1,1,0,0,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
Hideous Laughter,enchantment,compulsion,mind-affecting,"bard 1, sorcerer/wizard 2",1 standard action,"V, S, M (tiny fruit tarts and a feather)",0,close (25 ft. + 5 ft./2 levels),,,one creature; see text,1 round/level,0,0,Will negates,yes,"This spell afflicts the subject with uncontrollable laughter. It collapses into gales of manic laughter, falling prone. The subject can take no actions while laughing, but is not considered helpless.  After the spell ends, it can act normally. On the creature's next turn, it may attempt a new saving throw to end the effect. This is a full round action that does not provoke attacks of opportunity.  If this save is successful, the effect ends. If not, the creature continues laughing for the entire duration.  A creature with an Intelligence score of 2 or lower is not affected.  A creature whose type is different from the caster's receives a +4 bonus on its saving throw, because humor doesn't ""translate"" well.","<p>This spell afflicts the subject with uncontrollable laughter. It collapses into gales of manic laughter, falling prone. The subject can take no actions while laughing, but is not considered helpless.</p><p>After the spell ends, it can act normally. On the creature's next turn, it may attempt a new saving throw to end the effect. This is a full round action that does not provoke attacks of opportunity.</p><p>If this save is successful, the effect ends. If not, the creature continues laughing for the entire duration.</p><p>A creature with an Intelligence score of 2 or lower is not affected.</p><p>A creature whose type is different from the caster's receives a +4 bonus on its saving throw, because humor doesn't ""translate"" well.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hideous Laughter</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 1, sorcerer/wizard 2</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (tiny fruit tarts and a feather)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Targets </b>one creature; see text</h5><h5><b>Duration </b>1 round/level</h5><h5><b>Saving Throw </b>Will negates; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell afflicts the subject with uncontrollable laughter. It collapses into gales of manic laughter, falling prone. The subject can take no actions while laughing, but is not considered helpless.</p><p>After the spell ends, it can act normally. On the creature's next turn, it may attempt a new saving throw to end the effect. This is a full round action that does not provoke attacks of opportunity.</p><p>If this save is successful, the effect ends. If not, the creature continues laughing for the entire duration.</p><p>A creature with an Intelligence score of 2 or lower is not affected.</p><p>A creature whose type is different from the caster's receives a +4 bonus on its saving throw, because humor doesn't ""translate"" well.</p></h4></div>",1,1,1,0,0,2,2,NULL,NULL,NULL,1,NULL,NULL
Hold Person,enchantment,compulsion,mind-affecting,"bard 2, cleric 2, sorcerer/wizard 3",1 standard action,"V, S, F/DF (a small, straight piece of iron)",0,medium (100 ft. + 10 ft./level),,,one humanoid creature,1 round/level ; see text,1,0,Will negates; see text,yes,"The subject becomes paralyzed and freezes in place. It is aware and breathes normally but cannot take any actions, even speech. Each round on its turn, the subject may attempt a new saving throw to end the effect. This is a full-round action that does not provoke attacks of opportunity. A winged creature who is paralyzed cannot flap its wings and falls. A swimmer can't swim and may drown.","<p>The subject becomes paralyzed and freezes in place. It is aware and breathes normally but cannot take any actions, even speech. Each round on its turn, the subject may attempt a new saving throw to end the effect. This is a full-round action that does not provoke attacks of opportunity. A winged creature who is paralyzed cannot flap its wings and falls. A swimmer can't swim and may drown.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hold Person</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 2, cleric 2, sorcerer/wizard 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, F/DF (a small, straight piece of iron)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Targets </b>one humanoid creature</h5><h5><b>Duration </b>1 round/level ; see text (D)</h5><h5><b>Saving Throw </b>Will negates; see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>The subject becomes paralyzed and freezes in place. It is aware and breathes normally but cannot take any actions, even speech. Each round on its turn, the subject may attempt a new saving throw to end the effect. This is a full-round action that does not provoke attacks of opportunity. A winged creature who is paralyzed cannot flap its wings and falls. A swimmer can't swim and may drown.</p></h4></div>",1,1,1,1,1,3,3,2,NULL,NULL,2,NULL,NULL
Hold Monster,enchantment,compulsion,mind-affecting,"bard 4, sorcerer/wizard 5",1 standard action,"V, S, M/DF (one hard metal bar or rod, which can be as small as a three-penny nail)",0,medium (100 ft. + 10 ft./level),,,one living creature,1 round/level ; see text,1,0,Will negates; see text,yes,"This spell functions like hold person, except that it affects any living creature that fails its Will save.","<p>This spell functions like <i>hold person,</i> except that it affects any living creature that fails its Will save.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hold Monster</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 4, sorcerer/wizard 5</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M/DF (one hard metal bar or rod, which can be as small as a three-penny nail)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Targets </b>one living creature</h5><h5><b>Duration </b>1 round/level ; see text (D)</h5><h5><b>Saving Throw </b>Will negates; see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell functions like <i>hold person,</i> except that it affects any living creature that fails its Will save.</p></h4></div>",1,1,1,0,1,5,5,NULL,NULL,NULL,4,NULL,NULL
"Hold Monster, Mass",enchantment,compulsion,mind-affecting,sorcerer/wizard 9,1 standard action,"V, S, M/DF (one hard metal bar or rod, which can be as small as a three-penny nail)",0,medium (100 ft. + 10 ft./level),,,"one or more creatures, no two of which can be more than 30 ft. apart",1 round/level ; see text,1,0,Will negates; see text,yes,"This spell functions like hold person, except that it affects multiple creatures and holds any living creature that fails its Will save.","<p>This spell functions like <i>hold person,</i> except that it affects multiple creatures and holds any living creature that fails its Will save.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hold Monster, Mass</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>sorcerer/wizard 9</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M/DF (one hard metal bar or rod, which can be as small as a three-penny nail)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Targets </b>one or more creatures, no two of which can be more than 30 ft. apart</h5><h5><b>Duration </b>1 round/level ; see text (D)</h5><h5><b>Saving Throw </b>Will negates; see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell functions like <i>hold person,</i> except that it affects multiple creatures and holds any living creature that fails its Will save.</p></h4></div>",1,1,1,0,1,9,9,NULL,NULL,NULL,NULL,NULL,NULL
"Hold Person, Mass",enchantment,compulsion,mind-affecting,sorcerer/wizard 7,1 standard action,"V, S, F/DF (a small, straight piece of iron)",0,medium (100 ft. + 10 ft./level),,,"one or more humanoid creatures, no two of which can be more than 30 ft. apart",1 round/level ; see text,1,0,Will negates; see text,yes,"This spell functions like hold person, except as noted above.","<p>This spell functions like <i>hold person,</i> except as noted above.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hold Person, Mass</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>sorcerer/wizard 7</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, F/DF (a small, straight piece of iron)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Targets </b>one or more humanoid creatures, no two of which can be more than 30 ft. apart</h5><h5><b>Duration </b>1 round/level ; see text (D)</h5><h5><b>Saving Throw </b>Will negates; see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell functions like <i>hold person,</i> except as noted above.</p></h4></div>",1,1,1,1,1,7,7,NULL,NULL,NULL,NULL,NULL,NULL
Hold Portal,abjuration,,,sorcerer/wizard 1,1 standard action,V,0,medium (100 ft. + 10 ft./level),,,"one portal, up to 20 sq. ft./level",1 min./level,1,0,none,no,"This spell magically holds shut a door, gate, window, or shutter of wood, metal, or stone. The magic affects the portal just as if it were securely closed and normally locked. A knock spell or a successful dispel magic spell can negate a hold portal spell.  Add 5 to the normal DC for forcing open a portal affected by this spell.","<p>This spell magically holds shut a door, gate, window, or shutter of wood, metal, or stone. The magic affects the portal just as if it were securely closed and normally locked. A <i>knock</i> spell or a successful <i>dispel magic</i> spell can negate a <i>hold portal</i> spell.</p><p>Add 5 to the normal DC for forcing open a portal affected by this spell.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hold Portal</p><div style=""clear: both;""></div></div><div><h5><b>School </b>abjuration; <b>Level </b>sorcerer/wizard 1</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Targets </b>one portal, up to 20 sq. ft./level</h5><h5><b>Duration </b>1 min./level (D)</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell magically holds shut a door, gate, window, or shutter of wood, metal, or stone. The magic affects the portal just as if it were securely closed and normally locked. A <i>knock</i> spell or a successful <i>dispel magic</i> spell can negate a <i>hold portal</i> spell.</p><p>Add 5 to the normal DC for forcing open a portal affected by this spell.</p></h4></div>",1,0,0,0,0,1,1,NULL,NULL,NULL,NULL,NULL,NULL
Holy Aura,abjuration,,good,cleric 8,1 standard action,"V, S, F (a tiny reliquary worth 500 gp)",1,20 ft.,,,one creature/level in a 20-ft.-radius burst centered on you,1 round/level,1,0,see text,yes (harmless),"A brilliant divine radiance surrounds the subjects, protecting them from attacks, granting them resistance to spells cast by evil creatures, and causing evil creatures to become blinded when they strike the subjects. This abjuration has four effects.  First, each warded creature gains a +4 deflection bonus to AC and a +4 resistance bonus on saves. Unlike protection from evil, this benefit applies against all attacks, not just against attacks by evil creatures.  Second, each warded creature gains spell resistance 25 against evil spells and spells cast by evil creatures.  Third, the abjuration protects the recipient from possession and mental influence, just as protection from evil does.  Finally, if an evil creature succeeds on a melee attack against a creature warded by a holy aura, the offending attacker is blinded (Fortitude save negates, as blindness/deafness, but against holy aura's save DC).","<p>A brilliant divine radiance surrounds the subjects, protecting them from attacks, granting them resistance to spells cast by evil creatures, and causing evil creatures to become blinded when they strike the subjects. This abjuration has four effects.</p><p>First, each warded creature gains a +4 deflection bonus to AC and a +4 resistance bonus on saves. Unlike <i>protection from evil</i>, this benefit applies against all attacks, not just against attacks by evil creatures.</p><p>Second, each warded creature gains spell resistance 25 against evil spells and spells cast by evil creatures.</p><p>Third, the abjuration protects the recipient from possession and mental influence, just as <i>protection from evil</i> does.</p><p>Finally, if an evil creature succeeds on a melee attack against a creature warded by a <i>holy aura</i>, the offending attacker is blinded (Fortitude save negates, as <i>blindness/deafness,</i> but against <i>holy aura</i>'s save DC).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Holy Aura</p><div style=""clear: both;""></div></div><div><h5><b>School </b>abjuration [good]; <b>Level </b>cleric 8</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, F (a tiny reliquary worth 500 gp)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>20 ft.</h5><h5><b>Targets </b>one creature/level in a 20-ft.-radius burst centered on you</h5><h5><b>Duration </b>1 round/level (D)</h5><h5><b>Saving Throw </b>see text; <b>Spell Resistance </b>yes (harmless)</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>A brilliant divine radiance surrounds the subjects, protecting them from attacks, granting them resistance to spells cast by evil creatures, and causing evil creatures to become blinded when they strike the subjects. This abjuration has four effects.</p><p>First, each warded creature gains a +4 deflection bonus to AC and a +4 resistance bonus on saves. Unlike <i>protection from evil</i>, this benefit applies against all attacks, not just against attacks by evil creatures.</p><p>Second, each warded creature gains spell resistance 25 against evil spells and spells cast by evil creatures.</p><p>Third, the abjuration protects the recipient from possession and mental influence, just as <i>protection from evil</i> does.</p><p>Finally, if an evil creature succeeds on a melee attack against a creature warded by a <i>holy aura</i>, the offending attacker is blinded (Fortitude save negates, as <i>blindness/deafness,</i> but against <i>holy aura</i>'s save DC).</p></h4></div>",1,1,0,1,0,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL
Holy Smite,evocation,,good,cleric 4,1 standard action,"V, S",0,medium (100 ft. + 10 ft./level),20-ft.-radius burst,,,instantaneous (1 round); see text,0,0,Will partial; see text,yes,"You draw down holy power to smite your enemies. Only evil and neutral creatures are harmed by the spell; good creatures are unaffected.  The spell deals 1d8 points of damage per two caster levels (maximum 5d8) to each evil creature in the area (or 1d6 points of damage per caster level, maximum 10d6, to an evil outsider) and causes it to become blinded for 1 round. A successful Will saving throw reduces damage to half and negates the blinded effect.  The spell deals only half damage to creatures who are neither good nor evil, and they are not blinded. Such a creature can reduce that damage by half (down to one-quarter of the roll) with a successful Will save.","<p>You draw down holy power to smite your enemies. Only evil and neutral creatures are harmed by the spell; good creatures are unaffected.</p><p>The spell deals 1d8 points of damage per two caster levels (maximum 5d8) to each evil creature in the area (or 1d6 points of damage per caster level, maximum 10d6, to an evil outsider) and causes it to become blinded for 1 round. A successful Will saving throw reduces damage to half and negates the blinded effect.</p><p>The spell deals only half damage to creatures who are neither good nor evil, and they are not blinded. Such a creature can reduce that damage by half (down to one-quarter of the roll) with a successful Will save.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Holy Smite</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [good]; <b>Level </b>cleric 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Area </b>20-ft.-radius burst</h5><h5><b>Duration </b>instantaneous (1 round); see text</h5><h5><b>Saving Throw </b>Will partial; see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>You draw down holy power to smite your enemies. Only evil and neutral creatures are harmed by the spell; good creatures are unaffected.</p><p>The spell deals 1d8 points of damage per two caster levels (maximum 5d8) to each evil creature in the area (or 1d6 points of damage per caster level, maximum 10d6, to an evil outsider) and causes it to become blinded for 1 round. A successful Will saving throw reduces damage to half and negates the blinded effect.</p><p>The spell deals only half damage to creatures who are neither good nor evil, and they are not blinded. Such a creature can reduce that damage by half (down to one-quarter of the roll) with a successful Will save.</p></h4></div>",1,1,0,0,0,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL
